fold,model,test_end_date,auc,pr_auc,brier,f1,precision,recall,calibration_error
1,Logistic Baseline,2021-12-31,0.6970053525286083,0.28437174049044994,0.21679615862064017,0.34983498349834985,0.2420091324200913,0.6309523809523809,0.31845429916989065
1,Logistic + Interval Features,2021-12-31,0.6403423772609819,0.23008197069083747,0.24652736639818756,0.30177514792899407,0.20078740157480315,0.6071428571428571,0.3341799435038575
1,Elastic Net + Interval Features,2021-12-31,0.6403654485049834,0.2224104954411212,0.24641569504905533,0.2976190476190476,0.1984126984126984,0.5952380952380952,0.33115525439967974
1,XGBoost,2021-12-31,0.6296142488002954,0.21580857466815073,0.1459391382515271,0.25333333333333335,0.2878787878787879,0.2261904761904762,0.12019954045109141
1,LightGBM,2021-12-31,0.6211932447397563,0.24951303192128693,0.15524106251916264,0.2918918918918919,0.26732673267326734,0.32142857142857145,0.1474115225112239
2,Logistic Baseline,2022-06-30,0.7544490242425426,0.41707925979384486,0.19217475417305044,0.4332129963898917,0.3448275862068966,0.5825242718446602,0.26275301357142034
2,Logistic + Interval Features,2022-06-30,0.7231153913773906,0.36063449554772914,0.20535569505791534,0.4066666666666667,0.3096446700507614,0.5922330097087378,0.2633225784280925
2,Elastic Net + Interval Features,2022-06-30,0.7239163134144675,0.3603752000160766,0.2051626169167849,0.4080267558528428,0.3112244897959184,0.5922330097087378,0.26343829842962907
2,XGBoost,2022-06-30,0.7142271102342208,0.3362273234094224,0.1448564582822852,0.4111111111111111,0.4805194805194805,0.3592233009708738,0.08884958267755186
2,LightGBM,2022-06-30,0.7021937449942373,0.3788143869389159,0.14981239342804295,0.4019607843137255,0.40594059405940597,0.39805825242718446,0.10884141089926001
3,Logistic Baseline,2022-12-31,0.7215135050003938,0.3307160471846753,0.20100098357378812,0.42379182156133827,0.3413173652694611,0.5588235294117647,0.2631386601105713
3,Logistic + Interval Features,2022-12-31,0.6936766674541303,0.34075394418086424,0.20170132486647796,0.3806228373702422,0.29411764705882354,0.5392156862745098,0.24964423581464507
3,Elastic Net + Interval Features,2022-12-31,0.694227891959997,0.34110303878349263,0.20144121676340349,0.3806228373702422,0.29411764705882354,0.5392156862745098,0.24947577092893047
3,XGBoost,2022-12-31,0.6903890070084259,0.3542721338121641,0.14977070730008654,0.3541666666666667,0.37777777777777777,0.3333333333333333,0.11013140290277079
3,LightGBM,2022-12-31,0.6827899834632648,0.34706260055056604,0.1573474447407297,0.3349282296650718,0.32710280373831774,0.3431372549019608,0.11948119955903462
